City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
3,Albany,US,67.17,42.6001,-73.9662,
5,Dicabisagan,PH,78.58,17.0818,122.4157,
8,Indianola,US,73.31,41.3581,-93.5574,
10,Ponta Do Sol,PT,76.71,32.6667,-17.1,
15,Omboue,GA,77.85,-1.5746,9.2618,
16,Vaini,TO,69.96,-21.2,-175.2,
17,Dunkwa,GH,77.81,5.9656,-1.78,
18,Rikitea,PF,74.62,-23.1203,-134.9692,
19,Kapaa,US,76.12,22.0752,-159.319,
22,Sola,VU,79.38,-13.8833,167.55,
23,Cidreira,BR,66.24,-30.1811,-50.2056,
25,Lagoa,PT,70.18,39.05,-27.9833,
26,Kahului,US,75.85,20.8947,-156.47,
27,Prieska,ZA,69.06,-29.6641,22.7474,
28,Atuona,PF,77.99,-9.8,-139.0333,
30,Martapura,ID,73.49,-3.4167,114.85,
31,Katsuura,JP,73.51,35.1333,140.3,
33,Saint-Philippe,RE,72.99,-21.3585,55.7679,
35,Sauce,UY,66.13,-34.6469,-56.0628,
39,Olavarria,AR,65.01,-36.8927,-60.3225,
42,Arraial Do Cabo,BR,69.66,-22.9661,-42.0278,
47,Vinh,VN,75.97,18.6667,105.6667,
49,Mahebourg,MU,74.25,-20.4081,57.7,
56,Mgandu,TZ,78.51,-5.95,34.1333,
59,Hilo,US,75.27,19.7297,-155.09,
63,Marsa Matruh,EG,74.91,31.3525,27.2453,
65,Ballina,AU,71.78,-28.8667,153.5667,
69,Banjar,ID,76.91,-8.19,114.9675,
71,El Alto,PE,73.06,-4.2714,-81.2147,
73,Lompoc,US,76.08,34.6391,-120.4579,
75,Puerto Ayora,EC,75.16,-0.7393,-90.3518,
82,Bambous Virieux,MU,74.21,-20.3428,57.7575,
84,Kloulklubed,PW,75.7,7.0419,134.2556,
86,Souillac,MU,74.35,-20.5167,57.5167,
87,Cedar Lake,US,79.9,41.3648,-87.4411,
88,Necochea,AR,67.03,-38.5473,-58.7368,
89,Jamestown,US,70.02,42.097,-79.2353,
96,Los Andes,CL,68.9,-32.8337,-70.5983,
103,Mahon,ES,66.76,39.8885,4.2658,
106,Moron,AR,70.81,-34.6534,-58.6198,
112,Sao Joao Da Barra,BR,69.89,-21.6403,-41.0511,
114,Byron Bay,AU,71.71,-28.65,153.6167,
115,Pacific Grove,US,70.14,36.6177,-121.9166,
117,Saint Anthony,US,71.11,45.0205,-93.218,
118,Kumluca,TR,76.69,36.3703,30.2869,
121,Ribeira Grande,PT,72.0,38.5167,-28.7,
122,Cape Town,ZA,68.09,-33.9258,18.4232,
124,Nantucket,US,65.01,41.2835,-70.0995,
127,Isangel,VU,69.93,-19.55,169.2667,
130,Guerrero Negro,MX,74.34,27.9769,-114.0611,
137,Faanui,PF,79.48,-16.4833,-151.75,
139,Alofi,NU,77.36,-19.0595,-169.9187,
144,Pasighat,IN,76.64,28.0667,95.3333,
145,San Jose,US,69.78,37.3394,-121.895,
147,Majenang,ID,74.62,-7.2975,108.7642,
149,Khagaria,IN,78.93,25.5,86.4833,
150,Lamu,KE,79.02,-2.2717,40.902,
154,Carnarvon,AU,66.27,-24.8667,113.6333,
158,Nassau,US,65.21,40.7507,-73.5829,
159,Marawi,PH,66.65,7.9986,124.2928,
161,Date,JP,68.34,42.4681,140.8681,
166,Ponta Delgada,PT,74.12,37.7333,-25.6667,
178,Kalawit,PH,78.1,8.0667,122.5167,
179,Makakilo City,US,73.72,21.3469,-158.0858,
180,Razole,IN,78.37,16.4833,81.8333,
182,Longhua,CN,74.46,23.6137,114.1919,
183,Bima,ID,74.86,-8.4667,118.7167,
184,Saint-Joseph,RE,71.98,-21.3667,55.6167,
189,Nhulunbuy,AU,74.01,-12.2333,136.7667,
190,Santa Maria,BR,69.82,-29.6842,-53.8069,
192,Karratha,AU,75.34,-20.7377,116.8463,
193,Mount Isa,AU,69.57,-20.7333,139.5,
197,Camana,PE,67.73,-16.6228,-72.7111,
199,Dingle,PH,75.31,10.9995,122.6711,
204,Kieta,PG,78.39,-6.2167,155.6333,
215,Saint George,US,65.43,37.1041,-113.5841,
217,Isiro,CD,70.52,2.7739,27.616,
220,Poum,NC,72.97,-20.2333,164.0167,
224,Makamba,BI,72.59,-4.1348,29.804,
227,Iturama,BR,73.38,-19.7281,-50.1956,
230,Kuito,AO,76.53,-12.3833,16.9333,
232,Manado,ID,77.77,1.487,124.8455,
237,Vila Franca Do Campo,PT,73.81,37.7167,-25.4333,
239,Jamai,IN,70.2,22.2,78.5833,
241,Ambilobe,MG,76.01,-13.2,49.05,
242,Laguna,US,70.02,38.421,-121.4238,
243,Ushibuka,JP,74.93,32.1906,130.0228,
249,Salta,AR,77.58,-24.7859,-65.4117,
250,Shankargarh,IN,78.21,25.1833,81.6167,
251,Caravelas,BR,76.05,-17.7125,-39.2481,
252,Marang,MY,79.74,5.2056,103.2059,
253,Port-Gentil,GA,78.13,-0.7193,8.7815,
258,Nouadhibou,MR,70.18,20.931,-17.0347,
260,Roma,US,70.12,43.2128,-75.4557,
266,Half Moon Bay,US,69.82,37.4636,-122.4286,
267,Pisco,PE,67.01,-13.7,-76.2167,
270,Tezu,IN,76.86,27.9167,96.1667,
273,Labuhan,ID,78.71,-6.8844,112.2051,
275,Avarua,CK,66.25,-21.2078,-159.775,
276,Hasaki,JP,66.29,35.7333,140.8333,
277,Farafangana,MG,72.66,-22.8167,47.8333,
279,Acambay,MX,68.27,19.9558,-99.8417,
287,Nampula,MZ,79.9,-15.1165,39.2666,
291,Araxa,BR,68.86,-19.5933,-46.9406,
294,Mlonggo,ID,78.51,-6.5333,110.7,
297,Chandigarh,IN,76.44,30.7343,76.7933,
298,Jinhua,CN,73.58,29.1078,119.6547,
302,Mareeba,AU,68.72,-17.0,145.4333,
305,Ojo Caliente,MX,75.74,22.5708,-102.2519,
306,Faya,SA,70.32,18.3851,42.4509,
