City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pouembout,NC,2021-10-07 12:14:15,-21.1333,164.9,67.41,73,2,7.18
1,Qaanaaq,GL,2021-10-07 12:14:15,77.484,-69.3632,18.37,57,42,7.96
2,Mogadishu,SO,2021-10-07 12:14:16,2.0371,45.3438,80.42,69,9,18.77
3,Necochea,AR,2021-10-07 12:14:16,-38.5473,-58.7368,48.04,72,3,7.74
4,Jamestown,US,2021-10-07 12:12:33,42.097,-79.2353,63.72,100,90,5.75
5,Atuona,PF,2021-10-07 12:14:16,-9.8,-139.0333,77.38,77,8,14.92
6,Rikitea,PF,2021-10-07 12:14:17,-23.1203,-134.9692,72.99,79,75,12.86
7,Gold Coast,AU,2021-10-07 12:14:17,-28.0,153.4333,68.0,88,90,4.0
8,Tuktoyaktuk,CA,2021-10-07 12:14:17,69.4541,-133.0374,29.86,78,24,13.09
9,Hilo,US,2021-10-07 12:09:25,19.7297,-155.09,73.13,81,90,6.91
10,Hermanus,ZA,2021-10-07 12:14:18,-34.4187,19.2345,79.9,55,38,1.63
11,Cape Town,ZA,2021-10-07 12:12:48,-33.9258,18.4232,80.11,7,4,17.09
12,Punta Arenas,CL,2021-10-07 12:14:08,-53.15,-70.9167,39.31,81,90,3.44
13,Mataura,NZ,2021-10-07 12:14:18,-46.1927,168.8643,50.49,81,52,2.8
14,Pisco,PE,2021-10-07 12:14:19,-13.7,-76.2167,62.65,88,90,4.61
15,Albany,US,2021-10-07 12:14:19,42.6001,-73.9662,55.38,96,0,1.5
16,Capinopolis,BR,2021-10-07 12:14:19,-18.6819,-49.5697,90.43,31,82,5.1
17,Kapaa,US,2021-10-07 12:14:20,22.0752,-159.319,75.52,80,20,1.99
18,Puerto Ayora,EC,2021-10-07 12:14:20,-0.7393,-90.3518,67.55,96,100,5.99
19,Thunder Bay,CA,2021-10-07 12:14:21,48.4001,-89.3168,54.28,94,0,0.16
20,Castro,BR,2021-10-07 12:14:21,-24.7911,-50.0119,68.65,87,96,5.44
21,Never,FR,2021-10-07 12:14:21,46.9896,3.159,60.44,77,75,4.61
22,Kodiak,US,2021-10-07 12:14:22,57.79,-152.4072,43.9,80,9,14.14
23,Oriximina,BR,2021-10-07 12:13:07,-1.7656,-55.8661,87.53,54,76,3.04
24,Oktyabrskoye,RU,2021-10-07 12:14:22,43.0645,44.7417,46.54,87,90,8.95
25,Vaini,TO,2021-10-07 12:14:23,-21.2,-175.2,73.56,100,90,4.61
26,Ponta Delgada,PT,2021-10-07 12:14:23,37.7333,-25.6667,76.5,88,75,11.5
27,College,US,2021-10-07 12:14:24,64.8569,-147.8028,35.58,94,90,4.61
28,Port Alfred,ZA,2021-10-07 12:14:24,-33.5906,26.891,74.28,67,51,30.62
29,San Cristobal,VE,2021-10-07 12:14:24,7.7669,-72.225,71.78,70,95,3.42
30,Nouadhibou,MR,2021-10-07 12:14:25,20.931,-17.0347,79.75,50,77,11.97
31,Thompson,CA,2021-10-07 12:14:25,55.7435,-97.8558,49.82,90,100,6.71
32,Kaitangata,NZ,2021-10-07 12:14:25,-46.2817,169.8464,49.66,84,45,5.79
33,Saint-Philippe,RE,2021-10-07 12:14:26,-21.3585,55.7679,80.15,82,60,11.5
34,Zarubino,RU,2021-10-07 12:14:26,42.63,131.0922,51.1,86,100,6.67
35,Aguilas,ES,2021-10-07 12:14:26,37.4063,-1.5829,87.21,64,4,4.94
36,Butaritari,KI,2021-10-07 12:14:27,3.0707,172.7902,82.15,69,66,14.34
37,Bluff,NZ,2021-10-07 12:14:27,-46.6,168.3333,50.81,84,49,7.49
38,Grand Gaube,MU,2021-10-07 12:14:27,-20.0064,57.6608,79.38,67,1,11.01
39,Sur,OM,2021-10-07 12:14:28,22.5667,59.5289,86.41,47,1,6.24
40,Berlevag,NO,2021-10-07 12:14:28,70.8578,29.0864,40.95,65,75,13.8
41,Constitucion,CL,2021-10-07 12:10:16,-35.3333,-72.4167,55.35,64,0,7.05
42,Georgetown,MY,2021-10-07 12:14:28,5.4112,100.3354,84.13,81,20,3.44
43,Husavik,IS,2021-10-07 12:14:29,66.0449,-17.3389,43.0,82,100,22.86
44,Nikolskoye,RU,2021-10-07 12:14:29,59.7035,30.7861,58.89,47,6,11.43
45,Cockburn Town,TC,2021-10-07 12:14:29,21.4612,-71.1419,82.67,75,5,19.82
46,Beringovskiy,RU,2021-10-07 12:12:19,63.05,179.3167,32.54,95,100,3.13
47,Busselton,AU,2021-10-07 12:14:30,-33.65,115.3333,58.08,90,88,13.8
48,Severo-Kurilsk,RU,2021-10-07 12:14:30,50.6789,156.125,43.11,81,25,13.67
